6 , 1310119 , 2 , 43147 , 1353268 , 8192 x 8192 , atomic
6 , 1310966 , 2 , 42586 , 1353554 , 8192 x 8192 , atomic
6 , 1308740 , 2 , 42400 , 1351142 , 8192 x 8192 , atomic
6 , 1307150 , 3 , 42589 , 1349742 , 8192 x 8192 , atomic
8 , 1110184 , 2 , 35276 , 1145462 , 8192 x 8192 , atomic
8 , 1040097 , 2 , 53345 , 1093445 , 8192 x 8192 , atomic
8 , 1110307 , 2 , 35378 , 1145687 , 8192 x 8192 , atomic
8 , 1104209 , 2 , 35004 , 1139215 , 8192 x 8192 , atomic
8 , 1103616 , 2 , 35167 , 1138785 , 8192 x 8192 , atomic
10 , 986066 , 2 , 27653 , 1013721 , 8192 x 8192 , atomic
10 , 982990 , 3 , 29164 , 1012157 , 8192 x 8192 , atomic
10 , 991822 , 3 , 28845 , 1020670 , 8192 x 8192 , atomic
10 , 986108 , 2 , 28267 , 1014377 , 8192 x 8192 , atomic
10 , 985140 , 2 , 28285 , 1013427 , 8192 x 8192 , atomic
12 , 899759 , 3 , 26554 , 926316 , 8192 x 8192 , atomic
12 , 890966 , 3 , 27577 , 918546 , 8192 x 8192 , atomic
12 , 898919 , 2 , 24358 , 923279 , 8192 x 8192 , atomic
12 , 894180 , 2 , 23597 , 917779 , 8192 x 8192 , atomic
12 , 907649 , 3 , 25096 , 932748 , 8192 x 8192 , atomic
