0 , 64610 , 2 , 187405 , 252017 , compute-652-1
0 , 63861 , 2 , 187096 , 250959 , compute-652-1
0 , 63040 , 2 , 187896 , 250938 , compute-652-1
0 , 62306 , 2 , 187537 , 249845 , compute-652-1
0 , 95688 , 2 , 243651 , 339341 , compute-652-1
1 , 76588 , 2 , 186801 , 263391 , compute-652-1
1 , 76876 , 2 , 186255 , 263133 , compute-652-1
1 , 76746 , 2 , 187903 , 264651 , compute-652-1
1 , 77223 , 2 , 187273 , 264498 , compute-652-1
1 , 77136 , 2 , 186649 , 263787 , compute-652-1
2 , 39782 , 2 , 96396 , 136180 , compute-652-1
2 , 38391 , 1 , 96391 , 134783 , compute-652-1
2 , 38996 , 2 , 96291 , 135289 , compute-652-1
2 , 39916 , 2 , 95965 , 135883 , compute-652-1
2 , 39145 , 2 , 96332 , 135479 , compute-652-1
3 , 30672 , 2 , 68616 , 99290 , compute-652-1
3 , 30948 , 1 , 67870 , 98820 , compute-652-1
3 , 47093 , 1 , 106104 , 153198 , compute-652-1
3 , 29331 , 1 , 69066 , 98398 , compute-652-1
3 , 44794 , 2 , 82049 , 126845 , compute-652-1
4 , 36208 , 2 , 76899 , 113110 , compute-652-1
4 , 36028 , 2 , 76666 , 112696 , compute-652-1
4 , 25671 , 2 , 51953 , 77626 , compute-652-1
4 , 35723 , 2 , 77625 , 113350 , compute-652-1
4 , 33781 , 1 , 80088 , 113871 , compute-652-1
5 , 29202 , 3 , 64995 , 94200 , compute-652-1
5 , 28185 , 2 , 62833 , 91020 , compute-652-1
5 , 29837 , 2 , 57129 , 86968 , compute-652-1
5 , 29048 , 2 , 64186 , 93236 , compute-652-1
5 , 30011 , 2 , 63683 , 93696 , compute-652-1
6 , 25370 , 2 , 50340 , 75712 , compute-652-1
6 , 25053 , 3 , 50701 , 75757 , compute-652-1
6 , 25372 , 2 , 45238 , 70613 , compute-652-1
6 , 25344 , 2 , 45060 , 70406 , compute-652-1
6 , 24605 , 2 , 50973 , 75580 , compute-652-1
7 , 22506 , 2 , 43989 , 66497 , compute-652-1
7 , 22115 , 3 , 43576 , 65694 , compute-652-1
7 , 22342 , 2 , 44540 , 66884 , compute-652-1
7 , 23333 , 2 , 46790 , 70125 , compute-652-1
7 , 23241 , 2 , 45012 , 68255 , compute-652-1
8 , 21567 , 2 , 42040 , 63610 , compute-652-1
8 , 21202 , 2 , 41550 , 62754 , compute-652-1
8 , 20444 , 3 , 39867 , 60314 , compute-652-1
8 , 20276 , 2 , 39416 , 59694 , compute-652-1
8 , 21356 , 2 , 41093 , 62451 , compute-652-1
9 , 21798 , 1 , 37647 , 59446 , compute-652-1
9 , 20804 , 3 , 38647 , 59454 , compute-652-1
9 , 20649 , 1 , 38701 , 59352 , compute-652-1
9 , 19770 , 2 , 37368 , 57140 , compute-652-1
9 , 19703 , 2 , 35622 , 55327 , compute-652-1
