8 , 22010 , 11 , 32864 , 54885 , 8192 x 8192 , sem_schedulle
8 , 22136 , 11 , 32060 , 54207 , 8192 x 8192 , sem_nowait
8 , 21993 , 11 , 32209 , 54213 , 8192 x 8192 , sem_schedulle
10 , 19810 , 9 , 26781 , 46600 , 8192 x 8192 , sem_nowait
10 , 19670 , 8 , 26343 , 46021 , 8192 x 8192 , sem_schedulle
10 , 19951 , 8 , 27463 , 47422 , 8192 x 8192 , sem_nowait
10 , 19703 , 9 , 27149 , 46861 , 8192 x 8192 , sem_schedulle
10 , 20177 , 11 , 27445 , 47634 , 8192 x 8192 , sem_nowait
10 , 19772 , 10 , 27319 , 47101 , 8192 x 8192 , sem_schedulle
10 , 19990 , 9 , 26333 , 46332 , 8192 x 8192 , sem_nowait
10 , 19914 , 10 , 27671 , 47595 , 8192 x 8192 , sem_schedulle
10 , 19821 , 10 , 26784 , 46615 , 8192 x 8192 , sem_nowait
10 , 19827 , 9 , 25968 , 45804 , 8192 x 8192 , sem_schedulle
12 , 18847 , 9 , 34833 , 53689 , 8192 x 8192 , sem_nowait
12 , 20431 , 10 , 26405 , 46846 , 8192 x 8192 , sem_schedulle
12 , 19780 , 9 , 26381 , 46170 , 8192 x 8192 , sem_nowait
12 , 20088 , 10 , 26341 , 46439 , 8192 x 8192 , sem_schedulle
12 , 19859 , 9 , 26160 , 46028 , 8192 x 8192 , sem_nowait
12 , 19828 , 9 , 25571 , 45408 , 8192 x 8192 , sem_schedulle
12 , 19891 , 9 , 26748 , 46648 , 8192 x 8192 , sem_nowait
12 , 19895 , 9 , 26520 , 46424 , 8192 x 8192 , sem_schedulle
12 , 19873 , 9 , 27266 , 47148 , 8192 x 8192 , sem_nowait
12 , 19587 , 9 , 26266 , 45862 , 8192 x 8192 , sem_schedulle
